"carrier_id","type","date_pulled","owned","term_leased","trip_leased"
1000453,Straight Trucks,"5/26/2023",1,0,0
1000457,Straight Trucks,"5/26/2023",2,0,0
1000457,Trailers*,"5/26/2023",1,0,0
1000458,Straight Trucks,"5/26/2023",1,0,0
1000460,Straight Trucks,"5/26/2023",3,0,0
1000461,Truck Tractors,"5/26/2023",1,0,0
1000461,Trailers*,"5/26/2023",1,0,0
1000463,Straight Trucks,"5/26/2023",1,0,0
1000463,Trailers*,"5/26/2023",1,0,0
1000464,Truck Tractors,"5/26/2023",2,0,0
1000465,Straight Trucks,"5/26/2023",1,0,0
1000465,Truck Tractors,"5/26/2023",8,0,0
1000465,Trailers*,"5/26/2023",9,0,0
1000466,Truck Tractors,"5/26/2023",1,0,0
1000466,Trailers*,"5/26/2023",1,0,0
1000472,Truck Tractors,"5/26/2023",2,0,0
1000472,Trailers*,"5/26/2023",1,0,0
1000474,Straight Trucks,"5/26/2023",1,0,0
1000484,Truck Tractors,"5/26/2023",1,0,0
1000485,Straight Trucks,"5/26/2023",5,0,0
1000486,Truck Tractors,"5/26/2023",6,0,0
1000486,Trailers*,"5/26/2023",6,0,0
1000488,Straight Trucks,"5/26/2023",1,0,0
1000488,Trailers*,"5/26/2023",2,0,0
1000491,Truck Tractors,"5/26/2023",2,0,0
1000491,Hazmat Cargo Tank Trailers*,"5/26/2023",2,0,0
1000491,Hazmat Cargo Tank Trucks,"5/26/2023",12,0,0
1000493,Truck Tractors,"5/26/2023",2,1,0
1000494,Straight Trucks,"5/26/2023",1,0,0
1000495,Truck Tractors,"5/26/2023",1,0,0
1000501,Straight Trucks,"5/26/2023",1,0,0
1000504,Truck Tractors,"5/26/2023",6,0,0
1000504,Trailers*,"5/26/2023",6,0,0
1000506,Truck Tractors,"5/26/2023",1,0,0
1000506,Trailers*,"5/26/2023",1,0,0
1000508,Straight Trucks,"5/26/2023",8,0,0
1000508,Trailers*,"5/26/2023",3,0,0
1000513,Truck Tractors,"5/26/2023",4,0,0
1000513,Trailers*,"5/26/2023",4,0,0
1000514,Straight Trucks,"5/26/2023",1,0,0
1000515,Truck Tractors,"5/26/2023",1,0,0
1000515,Trailers*,"5/26/2023",1,0,0
1000519,Straight Trucks,"5/26/2023",1,0,0
1000521,Truck Tractors,"5/26/2023",1,0,0
1000521,Trailers*,"5/26/2023",5,0,0
1000523,Straight Trucks,"5/26/2023",2,0,0
1000524,Straight Trucks,"5/26/2023",2,0,0
1000527,Truck Tractors,"5/26/2023",1,0,0
1000527,Trailers*,"5/26/2023",3,0,0
1000528,Straight Trucks,"5/26/2023",6,0,0
1000529,Straight Trucks,"5/26/2023",1,0,0
1000529,Truck Tractors,"5/26/2023",6,0,0
1000529,Trailers*,"5/26/2023",6,0,0
1000530,Straight Trucks,"5/26/2023",4,0,0
1000530,Truck Tractors,"5/26/2023",1,0,0
1000530,Trailers*,"5/26/2023",4,0,0
1000532,Truck Tractors,"5/26/2023",3,0,0
1000532,Trailers*,"5/26/2023",4,0,0
1000534,Straight Trucks,"5/26/2023",2,0,0
1000534,Truck Tractors,"5/26/2023",1,0,0
1000534,Trailers*,"5/26/2023",2,0,0
1000535,Truck Tractors,"5/26/2023",1,0,0
1000535,Trailers*,"5/26/2023",0,0,2
1000536,Truck Tractors,"5/26/2023",3,2,0
1000536,Trailers*,"5/26/2023",3,2,0
1000539,Straight Trucks,"5/26/2023",1,6,0
1000547,Straight Trucks,"5/26/2023",5,0,0
1000547,Truck Tractors,"5/26/2023",1,0,0
1000547,Trailers*,"5/26/2023",1,0,0
1000548,Straight Trucks,"5/26/2023",2,0,0
1000549,Straight Trucks,"5/26/2023",1,0,0
1000549,Trailers*,"5/26/2023",1,0,0
1000551,Truck Tractors,"5/26/2023",1,0,0
1000551,Trailers*,"5/26/2023",1,0,0
1000552,Straight Trucks,"5/26/2023",1,0,0
1000552,Trailers*,"5/26/2023",1,0,0
1000554,Straight Trucks,"5/26/2023",3,0,0
1000556,Straight Trucks,"5/26/2023",3,0,0
1000557,Straight Trucks,"5/26/2023",6,0,0
1000559,Truck Tractors,"5/26/2023",2,0,0
1000559,Trailers*,"5/26/2023",2,0,0
1000562,Truck Tractors,"5/26/2023",5,0,0
1000562,Trailers*,"5/26/2023",5,0,0
1000564,Straight Trucks,"5/26/2023",4,0,0
1000566,Straight Trucks,"5/26/2023",9,0,0
1000567,Straight Trucks,"5/26/2023",1,0,0
1000567,Trailers*,"5/26/2023",1,0,0
1000570,Straight Trucks,"5/26/2023",1,0,0
1000573,Straight Trucks,"5/26/2023",1,0,0
1000574,Truck Tractors,"5/26/2023",1,0,0
1000575,Truck Tractors,"5/26/2023",1,0,0
1000575,Trailers*,"5/26/2023",2,0,0
1000581,Truck Tractors,"5/26/2023",5,0,0
1000591,Straight Trucks,"5/26/2023",1,0,0
1000593,Straight Trucks,"5/26/2023",6,0,0
1000593,Trailers*,"5/26/2023",6,0,0
1000594,Truck Tractors,"5/26/2023",1,0,0
1000594,Trailers*,"5/26/2023",1,0,0
1000597,Truck Tractors,"5/26/2023",1,0,0
1000597,Trailers*,"5/26/2023",1,0,0
1000601,Straight Trucks,"5/26/2023",5,0,0
1000603,Straight Trucks,"5/26/2023",1,0,0
1000604,Truck Tractors,"5/26/2023",2,0,0
1000604,Trailers*,"5/26/2023",2,0,0
1000610,Straight Trucks,"5/26/2023",2,0,0
1000610,Truck Tractors,"5/26/2023",6,0,0
1000610,Trailers*,"5/26/2023",25,0,0
1000611,Truck Tractors,"5/26/2023",1,0,0
1000611,Trailers*,"5/26/2023",1,0,0
1000612,Straight Trucks,"5/26/2023",1,0,0
1000615,Straight Trucks,"5/26/2023",4,0,0
1000617,Straight Trucks,"5/26/2023",3,0,0
1000617,Truck Tractors,"5/26/2023",1,0,0
1000617,Trailers*,"5/26/2023",2,0,0
1000618,Straight Trucks,"5/26/2023",1,0,0
1000618,Truck Tractors,"5/26/2023",3,0,0
1000628,Straight Trucks,"5/26/2023",1,0,0
1000629,Truck Tractors,"5/26/2023",12,0,0
1000629,Trailers*,"5/26/2023",12,0,0
1000630,Straight Trucks,"5/26/2023",3,0,0
1000632,Straight Trucks,"5/26/2023",1,1,0
1000635,Hazmat Cargo Tank Trucks,"5/26/2023",5,0,0
1000636,Straight Trucks,"5/26/2023",7,0,0
1000637,Straight Trucks,"5/26/2023",10,0,0
1000638,Truck Tractors,"5/26/2023",3,0,0
1000638,Trailers*,"5/26/2023",3,0,0
1000639,Straight Trucks,"5/26/2023",1,0,0
1000639,Trailers*,"5/26/2023",1,0,0
1000646,Straight Trucks,"5/26/2023",1,0,0
100065,Straight Trucks,"5/26/2023",4,0,0
1000652,Truck Tractors,"5/26/2023",3,0,0
1000652,Trailers*,"5/26/2023",1,0,0
1000652,Hazmat Cargo Tank Trailers*,"5/26/2023",1,0,0
1000652,Hazmat Cargo Tank Trucks,"5/26/2023",2,0,0
1000655,Straight Trucks,"5/26/2023",1,0,0
1000670,Truck Tractors,"5/26/2023",1,0,0
1000670,Trailers*,"5/26/2023",2,0,0
1000672,Straight Trucks,"5/26/2023",4,0,0
1000672,Trailers*,"5/26/2023",2,0,0
1000674,Straight Trucks,"5/26/2023",18,0,0
1000674,Truck Tractors,"5/26/2023",3,0,0
1000674,Trailers*,"5/26/2023",3,0,0
1000677,Straight Trucks,"5/26/2023",2,0,0
1000680,Straight Trucks,"5/26/2023",1,0,0
1000680,Trailers*,"5/26/2023",1,0,0
1000681,Straight Trucks,"5/26/2023",2,0,0
