"carrier_id","date_pulled","cargo_carried"
1000373,"5/26/2023","{""MOBILE HOMES"",""MODULAR BUILDING""}"
1000375,"5/26/2023","{""BUILDING MATERIALS"",GRAIN,FEED,HAY,""COMMODITIES DRY BULK""}"
1000377,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",LIQUIDS/GASES,CONSTRUCTION}"
100038,"5/26/2023","{""BOAT LIFTS""}"
1000380,"5/26/2023","{""MOTOR VEHICLES"",CORES/JUNK}"
1000382,"5/26/2023","{""BUILDING MATERIALS""}"
1000384,"5/26/2023","{""FARM SUPPLIES""}"
1000386,"5/26/2023","{""FUEL OIL""}"
1000388,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",""COMMODITIES DRY BULK"",CONSTRUCTION}"
1000391,"5/26/2023","{""MOTOR VEHICLES""}"
1000394,"5/26/2023","{GARBAGE,REFUSE,TRASH,""CONSTRUCTION DEBRIS""}"
1000395,"5/26/2023",{LIQUIDS/GASES}
1000400,"5/26/2023","{GRAIN,FEED,HAY,GARBAGE,REFUSE,TRASH}"
1000408,"5/26/2023","{LIVESTOCK,GRAIN,FEED,HAY}"
1000410,"5/26/2023","{""GENERAL FREIGHT"",""MOTOR VEHICLES"",""DRIVE AWAY/TOWAWAY"",""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",""FRESH PRODUCE"",MEAT,""U.S. MAIL"",""COMMODITIES DRY BULK"",""REFRIGERATED FOOD"",BEVERAGES,""PAPER PRODUCTS"",""FARM SUPPLIES""}"
1000412,"5/26/2023","{""BUILDING MATERIALS""}"
1000414,"5/26/2023",{PLANTS}
1000417,"5/26/2023",{CONSTRUCTION}
1000419,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",""GRAVEL DIRT""}"
1000423,"5/26/2023","{""HOUSEHOLD GOODS""}"
1000427,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000428,"5/26/2023",{CAMPERS}
1000429,"5/26/2023","{""GENERAL FREIGHT"",""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",GARBAGE,REFUSE,TRASH,DIRT/ROCK/ASPHALT}"
1000436,"5/26/2023","{""PLUMBING SUPPLIES""}"
1000438,"5/26/2023","{""GENERAL FREIGHT""}"
1000439,"5/26/2023","{BEVERAGES,SNACKS}"
1000440,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",""REFRIGERATED FOOD""}"
1000444,"5/26/2023",{SEPTAGE}
1000446,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS""}"
1000448,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000450,"5/26/2023","{""METAL; SHEETS"",COILS,ROLLS,""MOTOR VEHICLES"",""WATER WELL""}"
1000452,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000453,"5/26/2023","{""BUILDING MATERIALS"",GARBAGE,REFUSE,TRASH,DIRT}"
1000457,"5/26/2023","{""BUILDING MATERIALS"",CONSTRUCTION}"
1000458,"5/26/2023","{""U.S. MAIL""}"
1000460,"5/26/2023","{""GENERAL FREIGHT"",LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",GARBAGE,REFUSE,TRASH}"
1000461,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000463,"5/26/2023","{""GENERAL FREIGHT"",LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS""}"
1000464,"5/26/2023","{""GENERAL FREIGHT""}"
1000465,"5/26/2023","{""EMPTY TOTES/DRUM""}"
1000466,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER}"
1000472,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000474,"5/26/2023","{""COMMODITIES DRY BULK"",CONSTRUCTION}"
